   time in kHS23-Yrs by BySite     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,Total
BR_CBPF,      0.014,      0.001,      0.000,      0.000,      0.000,      0.009,      0.002,      0.043,      0.012,      0.008,      0.000,      0.001,      0.014,      0.002,      0.002,      0.058,      0.016,      0.044,      0.075,      0.082,      0.000,      0.000,      0.001,      0.386
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.004
CA_Victoria,      0.038,      0.004,      0.000,      0.000,      0.000,      0.000,      0.006,      0.047,      0.007,      0.001,      0.002,      0.003,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.023,      0.051,      0.005,      0.000,      0.189
CERN,      0.413,      0.073,      0.068,      0.009,      0.013,      0.065,      0.051,      0.753,      0.043,      0.043,      0.008,      0.032,      0.027,      0.001,      0.001,      0.002,      0.000,      0.011,      0.060,      0.373,      0.102,      0.002,      0.015,      2.164
CH_UNIBE-LHEP,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.013,      0.000,      0.000,      0.000,      0.031
CZ_FZU,      0.149,      0.019,      0.027,      0.001,      0.000,      0.001,      0.003,      0.133,      0.000,      0.000,      0.007,      0.048,      0.026,      0.001,      0.000,      0.000,      0.000,      0.000,      0.024,      0.454,      0.007,      0.007,      0.001,      0.908
ES_CIEMAT,      0.004,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.026,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.033
ES_PIC,      0.105,      0.028,      0.021,      0.002,      0.004,      0.066,      0.017,      0.202,      0.021,      0.006,      0.009,      0.018,      0.004,      0.000,      0.000,      0.001,      0.000,      0.001,      0.007,      0.107,      0.078,      0.001,      0.003,      0.703
FR_CCIN2P3,      0.003,      0.000,      0.000,      0.001,      0.007,      0.027,      0.003,      0.072,      0.005,      0.000,      0.001,      0.009,      0.024,      0.003,      0.000,      0.007,      0.001,      0.001,      0.040,      0.233,      0.053,      0.001,      0.001,      0.492
IN_TIFR,      0.278,      0.021,      0.044,      0.015,      0.000,      0.045,      0.018,      0.149,      0.007,      0.007,      0.001,      0.001,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012,      0.045,      0.001,      0.000,      0.000,      0.645
