   time in kHS23-Yrs by BySite     ,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,Total
BR_CBPF,      0.014,      0.002,      0.002,      0.058,      0.016,      0.044,      0.075,      0.082,      0.000,      0.000,      0.001,      0.001,      0.296
CA_SFU,      0.002,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
CA_Victoria,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.023,      0.051,      0.005,      0.000,      0.000,      0.081
CERN,      0.027,      0.001,      0.001,      0.002,      0.000,      0.011,      0.060,      0.373,      0.102,      0.002,      0.019,      0.030,      0.627
CH_UNIBE-LHEP,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.013,      0.000,      0.000,      0.000,      0.000,      0.030
CZ_FZU,      0.026,      0.001,      0.000,      0.000,      0.000,      0.000,      0.024,      0.454,      0.007,      0.007,      0.014,      0.027,      0.562
ES_CIEMAT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
ES_PIC,      0.004,      0.000,      0.000,      0.001,      0.000,      0.001,      0.007,      0.107,      0.078,      0.001,      0.003,      0.015,      0.218
FR_CCIN2P3,      0.024,      0.003,      0.000,      0.007,      0.001,      0.001,      0.040,      0.233,      0.053,      0.001,      0.001,      0.022,      0.384
IN_TIFR,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012,      0.045,      0.001,      0.000,      0.000,      0.000,      0.060
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL_NIKHEF,      0.057,      0.000,      0.000,      0.001,      0.000,      0.001,      0.051,      0.219,      0.039,      0.002,      0.003,      0.000,      0.375
NL_SURFsara,      0.058,      0.000,      0.003,      0.037,      0.001,      0.006,      0.080,      0.617,      0.010,      0.018,      0.009,      0.000,      0.840
RU_JINR,      0.023,      0.002,      0.000,      0.019,      0.004,      0.003,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.052
UK_Bristol,      0.012,      0.001,      0.000,      0.001,      0.000,      0.002,      0.018,      0.048,      0.007,      0.001,      0.001,      0.003,      0.093
UK_Brunel,      0.010,      0.000,      0.000,      0.000,      0.000,      0.001,      0.022,      0.088,      0.015,      0.001,      0.002,      0.005,      0.145
UK_Edinburgh,      0.012,      0.001,      0.000,      0.002,      0.000,      0.000,      0.013,      0.135,      0.026,      0.001,      0.001,      0.000,      0.191
UK_Imperial,      0.010,      0.000,      0.000,      0.002,      0.001,      0.001,      0.010,      0.113,      0.050,      0.002,      0.002,      0.002,      0.193
UK_Lancaster,      0.013,      0.000,      0.000,      0.000,      0.000,      0.000,      0.007,      0.127,      0.059,      0.000,      0.000,      0.001,      0.207
UK_Liverpool,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.058,      0.037,      0.001,      0.001,      0.000,      0.101
UK_Manchester,      0.035,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.178,      0.018,      0.006,      0.014,      0.001,      0.253
UK_Oxford,      0.005,      0.000,      0.000,      0.001,      0.000,      0.000,      0.006,      0.064,      0.003,      0.000,      0.001,      0.002,      0.083
UK_QMUL,      0.026,      0.003,      0.000,      0.001,      0.000,      0.001,      0.035,      0.295,      0.073,      0.001,      0.011,      0.034,      0.480
UK_RAL-PPD,      0.032,      0.001,      0.000,      0.002,      0.000,      0.002,      0.080,      0.442,      0.000,      0.014,      0.004,      0.009,      0.585
UK_RAL-Tier1,      0.135,      0.010,      0.002,      0.076,      0.038,      0.082,      0.170,      0.074,      0.113,      0.000,      0.000,      0.000,      0.700
UK_Sheffield,      0.009,      0.000,      0.000,      0.001,      0.000,      0.000,      0.007,      0.061,      0.044,      0.002,      0.002,      0.000,      0.125
US_BNL,      0.000,      0.006,      0.000,      0.005,      0.000,      0.011,      0.011,      0.177,      0.002,      0.000,      0.004,      0.010,      0.227
US_Caltech,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Colorado,      0.007,      0.002,      0.002,      0.003,      0.004,      0.011,      0.023,      0.060,      0.007,      0.000,      0.001,      0.004,      0.123
