   time in CoreYears by ByCountry     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      1.446,      0.135,      0.067,      0.281,      0.695,      1.694,      0.670,      5.914,      1.511,      0.728,      0.270,      0.665,    14.076
CA,      4.246,      6.281,      4.603,      0.130,      0.000,      3.026,      4.317,      7.269,      1.672,      0.733,      1.656,      1.351,    35.284
CERN,     47.529,     24.712,     19.199,      7.234,     12.596,     20.105,     16.044,     82.560,      8.535,      6.682,      7.633,      8.475,   261.304
CH,      0.055,      0.026,      0.112,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.030,     0.229
CZ,     19.037,      9.410,     12.832,      1.748,      0.090,      0.186,      8.811,     13.056,      0.024,      0.006,      1.269,      6.651,    73.119
ES,     14.281,      9.564,      8.468,      2.013,      6.839,     15.564,     11.250,     26.544,      4.221,      1.799,      2.791,      3.306,   106.640
FR,      1.796,      3.388,      3.001,      1.751,      6.733,      5.855,      3.439,     10.566,      2.050,      0.528,      1.847,      2.256,    43.209
IN,     32.242,      5.534,     10.915,      3.672,      2.589,     10.073,      8.316,     25.210,      2.022,      3.434,      1.947,      2.558,   108.513
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL,     59.952,     10.555,     29.111,     10.452,     14.376,     45.516,     27.050,     70.904,      4.079,      3.998,     11.070,     32.058,   319.121
RU,      1.167,      2.252,      0.136,      0.391,      6.867,      4.864,      1.675,      7.095,      5.179,      0.487,      4.687,      3.608,    38.407
UK,    166.938,     95.550,     39.654,     18.935,     30.048,    131.788,     60.689,    147.014,     29.326,     24.639,     41.545,     70.831,   856.957
US,    382.595,    244.374,    458.243,    602.251,    319.431,    485.539,    516.117,    578.944,    402.774,    146.469,    127.024,    125.870,  4389.630
undefined,     19.995,     23.342,     44.334,    118.971,      4.490,      3.675,      4.347,      9.983,      0.841,      1.943,      1.500,      3.375,   236.796
Total,    751.279,    435.123,    630.674,    767.830,    404.754,    727.884,    662.727,    985.060,    462.233,    191.445,    203.242,    261.036,  6483.286
