   time in MHr by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
CA,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
CERN,      0.002,      0.002,      0.002,      0.011,      0.004,      0.000,      0.000,      0.009,      0.001,      0.006,      0.000,      0.000,      0.003,      0.001,      0.008,      0.006,      0.003,      0.004,      0.002,      0.008,      0.000,      0.003,      0.006,      0.007,      0.002,      0.003,      0.004,      0.012,      0.000,      0.000,      0.000,      0.112
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CZ,      0.000,      0.001,      0.008,      0.005,      0.001,      0.000,      0.000,      0.001,      0.001,      0.003,      0.000,      0.000,      0.011,      0.001,      0.022,      0.017,      0.001,      0.012,      0.005,      0.002,      0.004,      0.007,      0.013,      0.001,      0.000,      0.000,      0.004,      0.006,      0.000,      0.000,      0.000,      0.126
ES,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.010,      0.002,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.009,      0.003,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.034
FR,      0.000,      0.001,      0.005,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.011,      0.003,      0.001,      0.002,      0.001,      0.001,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.031
IN,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.003
IT,      0.000,      0.001,      0.006,      0.005,      0.001,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.001,      0.000,      0.001,      0.003,      0.002,      0.001,      0.002,      0.001,      0.002,      0.001,      0.000,      0.003,      0.005,      0.000,      0.000,      0.000,      0.040
NL,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.004,      0.007,      0.000,      0.000,      0.000,      0.022
UK,      0.004,      0.006,      0.010,      0.012,      0.001,      0.000,      0.000,      0.013,      0.000,      0.001,      0.000,      0.000,      0.015,      0.003,      0.046,      0.016,      0.004,      0.011,      0.012,      0.007,      0.009,      0.018,      0.007,      0.019,      0.008,      0.002,      0.081,      0.110,      0.002,      0.000,      0.000,      0.420
US,      0.030,      0.043,      0.173,      0.187,      0.183,      0.026,      0.005,      0.038,      0.015,      0.023,      0.001,      0.005,      0.019,      0.130,      0.310,      0.420,      0.148,      0.155,      0.184,      0.261,      0.148,      0.085,      0.079,      0.078,      0.032,      0.063,      0.190,      0.207,      0.021,      0.000,      0.003,      3.261
undefined,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.004
Total,      0.037,      0.056,      0.208,      0.223,      0.190,      0.026,      0.005,      0.067,      0.017,      0.033,      0.001,      0.005,      0.055,      0.138,      0.409,      0.464,      0.158,      0.187,      0.209,      0.281,      0.163,      0.119,      0.109,      0.117,      0.047,      0.068,      0.290,      0.353,      0.023,      0.000,      0.003,      4.062
