   time in kHS23-Hrs by ByCountry     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,Total
BR,        139,         13,          6,         27,         66,        163,         64,        569,        145,         70,         26,         64,        466,         81,         95,        703,        177,        401,        678,        748,          0,         75,         32,       4817
CA,        409,        605,        443,         12,          0,        291,        416,        700,        161,         70,        159,        130,        108,         43,         87,        217,         98,         19,        115,        275,        612,        418,        103,       5502
CERN,       4579,       2381,       1849,        697,       1213,       1937,       1545,       7955,        822,        643,        735,        816,       1266,        428,        985,       1474,        412,        231,        907,       3671,       1328,        757,        678,      37321
CH,          5,          2,         10,          0,          0,          0,          0,          0,          0,          0,          0,          2,        126,          0,          0,          1,          1,          0,         23,        116,          0,         15,          0,        309
CZ,       1834,        906,       1236,        168,          8,         17,        849,       1258,          2,          0,        122,        640,       1088,        166,        227,       1134,        353,         26,        303,       4187,        209,        276,        298,      15316
ES,       1376,        921,        815,        193,        658,       1499,       1084,       2557,        406,        173,        268,        318,        256,        111,        287,        577,        209,         24,        158,       1203,        818,        186,        105,      14213
FR,        173,        326,        289,        168,        648,        564,        331,       1018,        197,         50,        177,        217,        726,        143,        215,        675,        131,         21,        405,       2386,        498,         68,        104,       9540
IN,       3106,        533,       1051,        353,        249,        970,        801,       2429,        194,        330,        187,        246,        540,          0,        246,       1507,        380,          0,        249,        457,        108,        113,        104,      14163
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,        275,        292
NL,       5776,       1017,       2805,       1007,       1385,       4385,       2606,       6832,        393,        385,       1066,       3089,       3809,        295,        959,       2735,        299,        121,       1592,       7390,        518,        775,        389,      49638
RU,        112,        216,         13,         37,        661,        468,        161,        683,        499,         46,        451,        347,        483,         94,        343,       1187,        158,         41,         54,          0,          0,          0,          0,       6064
UK,      16086,       9207,       3821,       1824,       2895,      12699,       5848,      14166,       2825,       2374,       4003,       6825,       9491,       3673,       2928,       7848,       1859,       1104,       6673,      17356,       5568,       2133,       1558,     142772
US,      36866,      23547,      44156,      58032,      30780,      46786,      49733,      55787,      38811,      14113,      12240,      12128,      31043,      39814,      27174,      14567,      18784,      15468,      31267,      44229,      18979,      14679,      12034,     691028
undefined,       1926,       2249,       4272,      11464,        432,        354,        418,        961,         81,        187,        144,        325,        332,        200,         14,         78,          9,          0,          0,        112,         27,         28,         67,      23690
Total,      72393,      41928,      60771,      73988,      39002,      70138,      63860,      94920,      44540,      18447,      19584,      25153,      49739,      45054,      33566,      32710,      22876,      17461,      42428,      82134,      28671,      19547,      15753,    1014672
