   time in kHS23-Hrs by ByCountry     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR,         26,         64,        466,         81,         95,        703,        177,        401,        678,        748,          0,         75,       3518
CA,        159,        130,        108,         43,         87,        217,         98,         19,        115,        275,        612,        418,       2287
CERN,        735,        816,       1266,        428,        985,       1474,        412,        231,        907,       3671,       1328,        757,      13016
CH,          0,          2,        126,          0,          0,          1,          1,          0,         23,        116,          0,         15,        290
CZ,        122,        640,       1088,        166,        227,       1134,        353,         26,        303,       4187,        209,        276,       8735
ES,        268,        318,        256,        111,        287,        577,        209,         24,        158,       1203,        818,        186,       4420
FR,        177,        217,        726,        143,        215,        675,        131,         21,        405,       2386,        498,         68,       5667
IN,        187,        246,        540,          0,        246,       1507,        380,          0,        249,        457,        108,        113,       4037
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         17
NL,       1066,       3089,       3809,        295,        959,       2735,        299,        121,       1592,       7390,        518,        775,      22653
RU,        451,        347,        483,         94,        343,       1187,        158,         41,         54,          0,          0,          0,       3162
UK,       4003,       6825,       9491,       3673,       2928,       7848,       1859,       1104,       6673,      17356,       5568,       2133,      69466
US,      12240,      12128,      31043,      39814,      27174,      14567,      18784,      15468,      31267,      44229,      18979,      14679,     280377
undefined,        144,        325,        332,        200,         14,         78,          9,          0,          0,        112,         27,         28,       1274
Total,  19584.442,  25153.418,  49739.619,  45054.012,  33566.358,  32710.067,  22876.465,  17461.547,  42428.046,  82134.753,  28671.280,  19547.303,     418927
