   time in kHS23-Yrs by ByCountry     ,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,Total
BR,      0.053,      0.009,      0.011,      0.080,      0.020,      0.046,      0.077,      0.085,      0.000,      0.009,      0.004,      0.003,      0.398
CA,      0.012,      0.005,      0.010,      0.025,      0.011,      0.002,      0.013,      0.032,      0.070,      0.048,      0.012,      0.001,      0.241
CERN,      0.145,      0.049,      0.113,      0.168,      0.047,      0.026,      0.104,      0.419,      0.152,      0.086,      0.103,      0.136,      1.548
CH,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.013,      0.000,      0.002,      0.000,      0.000,      0.033
CZ,      0.124,      0.019,      0.026,      0.130,      0.040,      0.003,      0.035,      0.478,      0.024,      0.032,      0.054,      0.128,      1.092
ES,      0.029,      0.013,      0.033,      0.066,      0.024,      0.003,      0.018,      0.137,      0.093,      0.021,      0.014,      0.048,      0.499
FR,      0.083,      0.016,      0.025,      0.077,      0.015,      0.002,      0.046,      0.272,      0.057,      0.008,      0.013,      0.039,      0.654
IN,      0.062,      0.000,      0.028,      0.172,      0.043,      0.000,      0.028,      0.052,      0.012,      0.013,      0.012,      0.005,      0.428
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.034,      0.047,      0.083
NL,      0.435,      0.034,      0.109,      0.312,      0.034,      0.014,      0.182,      0.844,      0.059,      0.089,      0.053,      0.026,      2.190
RU,      0.055,      0.011,      0.039,      0.136,      0.018,      0.005,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.270
UK,      1.084,      0.419,      0.334,      0.896,      0.212,      0.126,      0.762,      1.981,      0.636,      0.244,      0.216,      0.622,      7.532
US,      3.544,      4.545,      3.102,      1.663,      2.144,      1.766,      3.569,      5.049,      2.167,      1.676,      1.499,      3.924,     34.648
undefined,      0.038,      0.023,      0.002,      0.009,      0.001,      0.000,      0.000,      0.013,      0.003,      0.003,      0.008,      0.005,      0.104
Total,      5.678,      5.143,      3.832,      3.734,      2.611,      1.993,      4.843,      9.376,      3.273,      2.231,      2.023,      4.983,     49.721
