   time in kHS23-Yrs by ByCountry     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
BR,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
CA,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
CERN,      0.003,      0.002,      0.002,      0.013,      0.005,      0.000,      0.000,      0.012,      0.002,      0.008,      0.000,      0.000,      0.004,      0.001,      0.010,      0.007,      0.004,      0.005,      0.003,      0.010,      0.000,      0.004,      0.008,      0.008,      0.003,      0.004,      0.005,      0.015,      0.000,      0.000,      0.000,      0.141
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
CZ,      0.000,      0.001,      0.010,      0.006,      0.001,      0.000,      0.000,      0.002,      0.001,      0.003,      0.000,      0.000,      0.014,      0.001,      0.027,      0.021,      0.001,      0.016,      0.007,      0.003,      0.005,      0.009,      0.016,      0.002,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.000,      0.159
ES,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.013,      0.002,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.001,      0.011,      0.004,      0.000,      0.002,      0.002,      0.000,      0.000,      0.000,      0.043
FR,      0.000,      0.001,      0.006,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.014,      0.003,      0.001,      0.002,      0.001,      0.001,      0.001,      0.001,      0.001,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.039
IN,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.004
IT,      0.000,      0.002,      0.007,      0.007,      0.001,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.003,      0.001,      0.000,      0.002,      0.003,      0.002,      0.001,      0.003,      0.002,      0.002,      0.001,      0.000,      0.004,      0.007,      0.000,      0.000,      0.000,      0.050
NL,      0.001,      0.001,      0.001,      0.002,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.007,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.000,      0.028
UK,      0.005,      0.008,      0.013,      0.015,      0.001,      0.000,      0.001,      0.017,      0.000,      0.001,      0.000,      0.001,      0.019,      0.004,      0.058,      0.021,      0.005,      0.014,      0.016,      0.009,      0.011,      0.023,      0.009,      0.024,      0.010,      0.002,      0.102,      0.139,      0.002,      0.000,      0.000,      0.528
US,      0.037,      0.054,      0.217,      0.235,      0.230,      0.033,      0.006,      0.048,      0.019,      0.028,      0.001,      0.006,      0.023,      0.164,      0.389,      0.527,      0.186,      0.195,      0.231,      0.328,      0.186,      0.107,      0.099,      0.098,      0.040,      0.079,      0.239,      0.260,      0.027,      0.000,      0.004,      4.095
undefined,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.005
Total,      0.047,      0.071,      0.261,      0.280,      0.239,      0.033,      0.007,      0.084,      0.021,      0.041,      0.001,      0.007,      0.070,      0.173,      0.513,      0.583,      0.198,      0.235,      0.262,      0.353,      0.205,      0.149,      0.136,      0.147,      0.058,      0.085,      0.365,      0.444,      0.029,      0.000,      0.004,      5.100
