   time in kHS23-Yrs by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR_CBPF,      0.016,      0.001,      0.001,      0.003,      0.008,      0.019,      0.007,      0.065,      0.017,      0.008,      0.003,      0.007,      0.155
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.002,      0.006
CA_Victoria,      0.047,      0.069,      0.051,      0.001,      0.000,      0.033,      0.047,      0.080,      0.018,      0.008,      0.013,      0.013,      0.382
CERN,      0.523,      0.272,      0.211,      0.080,      0.139,      0.221,      0.176,      0.908,      0.094,      0.074,      0.084,      0.093,      2.874
CH_UNIBE-LHEP,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
CZ_FZU,      0.209,      0.104,      0.141,      0.019,      0.001,      0.002,      0.097,      0.144,      0.000,      0.000,      0.014,      0.073,      0.804
ES_CIEMAT,      0.014,      0.007,      0.000,      0.000,      0.000,      0.010,      0.006,      0.029,      0.003,      0.001,      0.000,      0.000,      0.071
ES_PIC,      0.143,      0.098,      0.093,      0.022,      0.075,      0.161,      0.118,      0.262,      0.044,      0.019,      0.030,      0.036,      1.102
FR_CCIN2P3,      0.020,      0.037,      0.033,      0.019,      0.074,      0.064,      0.038,      0.116,      0.023,      0.006,      0.020,      0.025,      0.475
IN_TIFR,      0.355,      0.061,      0.120,      0.040,      0.028,      0.111,      0.091,      0.277,      0.022,      0.038,      0.021,      0.028,      1.194
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
NL_NIKHEF,      0.048,      0.049,      0.020,      0.018,      0.060,      0.124,      0.047,      0.143,      0.026,      0.017,      0.050,      0.149,      0.751
NL_SURFsara,      0.611,      0.067,      0.300,      0.097,      0.098,      0.377,      0.250,      0.637,      0.018,      0.027,      0.072,      0.204,      2.759
RU_JINR,      0.013,      0.025,      0.001,      0.004,      0.076,      0.054,      0.018,      0.078,      0.057,      0.005,      0.052,      0.040,      0.422
UK_Bristol,      0.353,      0.087,      0.027,      0.003,      0.027,      0.053,      0.060,      0.128,      0.021,      0.015,      0.039,      0.033,      0.846
